date,provider,headline,tickers,sentiment
Jul-23-2025,Zacks,"Top Research Reports for NVIDIA, Amazon.com & Meta Platforms","A, DI, N, VI",Neutral
Jul-23-2025,Zacks,Finding the Best Cheap Stocks to Buy Now,,Neutral
Jul-23-2025,Zacks,Is the Options Market Predicting a Spike in Kanzhun Stock?,,Neutral
Jul-23-2025,Zacks,Do Options Traders Know Something About AIT Stock We Don't?,,Neutral
Jul-23-2025,Zacks,"After a 42% Rally, Is Opendoor the Next Carvana and a Buy?",,Neutral
Jul-23-2025,Zacks,Navitas vs. ON Semiconductor: Which Power Stock is a Better Bet Now?,,Neutral
Jul-23-2025,Zacks,GOOGL Earnings: The Cheapest of the Magnificent 7,,Neutral
Jul-22-2025,Zacks,What's in the Cards for Healthpeak Properties This Earnings Season?,,Neutral
Jul-22-2025,Zacks,Apple Gains From Engaging Apple TV+ Content: What's the Path Ahead?,,Neutral
Jul-22-2025,Zacks,PulteGroup Stock Gains After Q2 Earnings and Revenue Beat,,Bearish
Jul-22-2025,Zacks,Block Stock Rises 24.7% in a Month: What This Means for Investors,,Neutral
Jul-22-2025,Zacks,"FOSL Upgraded to Outperform Amid Turnaround Plan, Margin Gains",,Bearish
Jul-22-2025,Zacks,"Tenet Beats Q2 Earnings on Strong Patient Volumes, Hikes '25 EPS View",,Bearish
Jul-22-2025,Zacks,Will Higher Coffee Prices Derail The J.M. Smucker's Volume Momentum?,"J, M",Bullish
Jul-22-2025,Zacks,4 Stocks to Watch in the Promising Construction & Mining Equipment Industry,,Bearish
Jul-22-2025,Zacks,3 Stocks to Watch From the Prospering Computer-Services Industry,,Neutral
Jul-22-2025,Zacks,Synchrony Q2 Earnings Beat Estimates on Improved Efficiency,,Bearish
Jul-22-2025,Zacks,"Buy, Hold or Sell UPS Stock? Key Tips Ahead of Q2 Earnings",,Neutral
Jul-22-2025,Zacks,"MSCI Q2 Earnings Beat Estimates, Revenues Rise Y/Y, Shares Fall",MSCI,Bearish
Jul-22-2025,Zacks,GitLab's Partner Base Expands: Is Growth Thesis Strengthening?,,Bearish
Jul-22-2025,Zacks,Hims & Hers Paves the Way for Global Digital Health Expansion,,Neutral
Jul-22-2025,Zacks,EVEX vs. JOBY: Which eVTOL Stock Holds the Edge in Urban Air Mobility?,,Neutral
Jul-22-2025,Zacks,CRWD Bets on Agentic AI Security: Will it Unlock Next Growth Phase?,CRWD,Neutral
Jul-22-2025,Zacks,Strategy vs. Riot Platforms: Which Bitcoin-Focused Stock Has an Edge?,,Neutral
Jul-22-2025,Zacks,"BOK Financial's Q2 Earnings Beat on NII & Loan Growth, Stock Gains",NII,Neutral
Jul-22-2025,Zacks,American Airlines Stock to Report Q2 Earnings: What's in the Cards?,,Neutral
Jul-23-2025,,Comfort Systems (FIX) To Report Earnings Tomorrow: Here Is What To Expect,FIX,Neutral
Jul-23-2025,Stock Story,Brunswick Earnings: What To Look For From BC,BC,Neutral
Jul-23-2025,Stock Story,What To Expect From Integer Holdings’s (ITGR) Q2 Earnings,IT,Neutral
Jul-23-2025,Stock Story,Union Pacific (UNP) Q2 Earnings: What To Expect,UNP,Neutral
Jul-23-2025,Stock Story,Deckers (DECK) Q2 Earnings: What To Expect,,Neutral
Jul-23-2025,Stock Story,CTS Earnings: What To Look For From CTS,CT,Neutral
Jul-23-2025,Stock Story,Pool (POOL) Reports Earnings Tomorrow: What To Expect,,Neutral
Jul-23-2025,Stock Story,Old Republic International (ORI) Reports Q2: Everything You Need To Know Ahead Of Earnings,ORI,Neutral
Jul-23-2025,Stock Story,Earnings To Watch: Kinsale Capital Group (KNSL) Reports Q2 Results Tomorrow,"K, NSL",Bearish
Jul-23-2025,Stock Story,What To Expect From Tractor Supply’s (TSCO) Q2 Earnings,T,Neutral
Jul-23-2025,Stock Story,What To Expect From Bel Fuse’s (BELFA) Q2 Earnings,"B, ELFA",Neutral
Jul-23-2025,Stock Story,Ryder (R) To Report Earnings Tomorrow: Here Is What To Expect,,Neutral
Jul-23-2025,Stock Story,The Ensign Group Earnings: What To Look For From ENSG,ENSG,Neutral
Jul-23-2025,Stock Story,Hexcel (HXL) To Report Earnings Tomorrow: Here Is What To Expect,,Neutral
Jul-23-2025,Stock Story,A. O. Smith (AOS) Reports Earnings Tomorrow: What To Expect,"A, OS",Neutral
Jul-23-2025,Stock Story,Scholastic (SCHL) Q2 Earnings Report Preview: What To Look For,SCHL,Neutral
Jul-23-2025,Stock Story,American Airlines Earnings: What To Look For From AAL,AAL,Neutral
Jul-23-2025,Stock Story,West Pharmaceutical Services (WST) Q2 Earnings Report Preview: What To Look For,E,Neutral
Jul-23-2025,Stock Story,Ladder Capital (LADR) Reports Earnings Tomorrow: What To Expect,LADR,Neutral
Jul-23-2025,Stock Story,Intel (INTC) Q2 Earnings: What To Expect,INTC,Neutral
Jul-23-2025,Stock Story,SouthState (SSB) Q2 Earnings: What To Expect,SS,Neutral
Jul-23-2025,Stock Story,LKQ (LKQ) Q2 Earnings: What To Expect,"L, LK",Neutral
Jul-23-2025,Stock Story,Keurig Dr Pepper (KDP) Reports Q2: Everything You Need To Know Ahead Of Earnings,KDP,Neutral
Jul-23-2025,Stock Story,Earnings To Watch: Textron (TXT) Reports Q2 Results Tomorrow,,Neutral
Jul-23-2025,Stock Story,What To Expect From VeriSign’s (VRSN) Q2 Earnings,,Neutral
Jul-23-2025,Stock Story,HNI Earnings: What To Look For From HNI,"H, HNI",Neutral
Jul-23-2025,Stock Story,OceanFirst Financial (OCFC) Reports Q2: Everything You Need To Know Ahead Of Earnings,OCFC,Neutral
Jul-23-2025,Stock Story,Dover (DOV) Reports Q2: Everything You Need To Know Ahead Of Earnings,,Neutral
Jul-23-2025,Stock Story,Universal Logistics (ULH) To Report Earnings Tomorrow: Here Is What To Expect,ULH,Neutral
Jul-23-2025,Stock Story,What To Expect From ADT’s (ADT) Q2 Earnings,AD,Neutral
Jul-23-2025,,"Macquarie backs Harvey Norman, Coles and Bega Cheese as consumer stocks turn expensive",,Bullish
Jul-23-2025,Market Index,"Morning Wrap: ASX 200 to rise, Nasdaq snaps six-day win streak, Wall Street rotated from tech to value",,Bearish
Jul-23-2025,Market Index,"ASX 200 Live Today - Wednesday, 23rd July",ASX,Neutral
Jul-22-2025,Market Index,Evening Wrap: ASX 200 steadies despite banks sliding further; iron ore and miners to the rescue,,Bearish
Jul-22-2025,Market Index,"The catalyst bringing life back into BHP, Rio Tinto and Fortescue (and taking the life out of CBA)","BHP, CBA",Neutral
Jul-22-2025,Market Index,ASX Dividend Stocks: A 7-12% yielder that's survived brutal sector conditions,ASX,Neutral
Jul-22-2025,Market Index,"Morning Wrap: ASX 200 to rise, S&P 500 and Nasdaq hit another record high, Gold prices surge",S & P,Bearish
Jul-21-2025,Market Index,"Evening Wrap: ASX 200 tumbles 1%, banks bear the brunt of worst selloff since April",ASX,Bullish
Jul-21-2025,Market Index,Macquarie tips NextDC and Infratil as undervalued AI plays,AI,Bearish
Jul-21-2025,Market Index,Insider Trades: 3 directors sold shares in these ASX 200 stocks last week,ASX,Neutral
Jul-21-2025,Market Index,The 10 most shorted ASX stocks plus the biggest risers and fallers – Week 30,ASX,Bullish
Jul-21-2025,Market Index,"Morning Wrap: ASX 200 to fall, Nasdaq inches into record territory, Block to join S&P 500","ASX, S & P",Bullish
Jul-21-2025,Market Index,"ASX 200 Live Today - Monday, 21st July",,Neutral
Jul-18-2025,Market Index,"Evening Wrap: ASX 200 crosses 8,700 for the first time, BHP soars, Healthcare stocks play catch up","ASX, BHP",Bearish
Jul-18-2025,Market Index,BHP delivers record FY25 iron and copper production,BHP,Bearish
Jul-18-2025,Market Index,"Morning Wrap: ASX 200 at all-time highs, S&P 500 and Nasdaq hit new record, Graphite and Lithium stocks in focus","G, S & P",Neutral
Jul-18-2025,Market Index,"ASX 200 Live Today - Friday, 18th July",,Neutral
Jul-17-2025,Market Index,"Evening Wrap: ASX 200 at fresh all-time highs, RBA rate cut expectations rise on weak unemployment data","ASX, RBA",Bearish
Jul-17-2025,Market Index,Macquarie turns bullish on Australian stocks as global easing drives FY26 earnings optimism,,Bearish
Jul-17-2025,Market Index,"Morning Wrap: ASX 200 set to bounce, S&P 500 and Nasdaq higher despite Trump-Powell volatility","ASX, S & P",Bearish
Jul-17-2025,Market Index,"ASX 200 Live Today - Thursday, 17th July",,Neutral
Jul-16-2025,Market Index,"Evening Wrap: ASX 200 reverses course on tariff inflation worries; banks take a hit, rare earths rally",,Bullish
Jul-16-2025,Market Index,From iron ore to gold: The cash-rich Mount Gibson makes a $50 million strategic bet,,Neutral
Jul-16-2025,Market Index,Is Hub24 really worth $100?,,Neutral
Jul-16-2025,Market Index,"Morning Wrap: ASX 200 to fall, S&P 500 struggles on inflation woes, Nvidia lifts Nasdaq to fresh record high",S & P,Bullish
Jul-16-2025,Market Index,"ASX 200 Live Today - Wednesday, 16th July",ASX,Neutral
Jul-15-2025,Market Index,"Evening Wrap: ASX 200 rips to all-time high, powered by tech and health stocks amid China optimism",ASX,Bearish
Jul-23-2025,,Sign in to read exclusive news,,Neutral
Jul-23-2025,Dow Jones Newswires,"Solana (SOL) Smashes $200, Bulls Now Target $220–$250 Zone",SOL,Neutral
Jul-23-2025,NewsBTC,Wallets tied to bitcoin whale moves $1.26 billion worth of BTC after years of dormancy: Lookonchain,BTC,Neutral
Jul-23-2025,The Block,Qubic (QUBIC) - QSwap IPO Auction Ends - 23 Jul 2025,O,Neutral
Jul-23-2025,CoinMarketCal,Gunz (GUN) - OpenSea Rollout Begins - 24 Jul 2025,S,Neutral
Jul-23-2025,CoinMarketCal,Ondo (ONDO) - Binance.US Listing - 23 Jul 2025,US,Neutral
Jul-23-2025,CoinMarketCal,Bitcoin Hovers Below $120K as On-Chain Indicators Point to Slowing Demand,,Bullish
Jul-23-2025,NewsBTC,21Shares files with SEC for spot ONDO ETF,"OND, SEC",Neutral
Jul-23-2025,Cointelegraph,XRP News: Will Ripple vs SEC Officially End On August 15?,"SEC, XRP",Neutral
Jul-23-2025,Coinpedia,XRP Price Maintains Support—Can Bulls Push It Higher Again?,,Bearish
Jul-23-2025,NewsBTC,"South Korean authorities tell asset managers to limit exposure to Coinbase, Strategy: report",,Neutral
Jul-23-2025,The Block,Bitcoin Shows Near-term Fragility as Investors Shift to Altcoins: Bitfinex,,Neutral
Jul-23-2025,CryptoPotato,XRP Price Prediction For July 23,,Neutral
Jul-23-2025,Coinpedia,Ethereum Price Stays Elevated—Bulls Eye Further Upside,,Bearish
Jul-23-2025,NewsBTC,"Bitcoin hitting $200K this year ‘very improbable,’ says analyst",,Bullish
Jul-23-2025,Cointelegraph,Solana Becomes The Talk Of Social Media As Price Hits $200,,Neutral
Jul-23-2025,NewsBTC,Bitcoin Price Sets Up for Another Move—Can the Bulls Seal the Deal?,,Neutral
Jul-23-2025,NewsBTC,UK to ban public sector from making ransomware payments,UK,Bullish
Jul-23-2025,Cointelegraph,"‘Sell Ethereum, Buy Bitcoin’: Peter Schiff Makes Surprising Crypto Call",,Neutral
Jul-23-2025,NewsBTC,"Bitcoin Must Defend This Key Support For $180,000 Year-End Target, Analyst Says",,Bearish
Jul-23-2025,NewsBTC,Analyst Predicts Explosive 126% Shiba Inu Rally After SHIB Surpasses Litecoin Market Cap,SHIB,Bearish
Jul-23-2025,NewsBTC,Jack Dorsey’s Square Begins Onboarding Merchants for Bitcoin Payments,,Neutral
Jul-23-2025,Beincrypto,$100B Binance Futures volume backs traders’ ‘altseason’ claim,,Bullish
Jul-23-2025,Cointelegraph,PEPE Sparks Google Frenzy With 300% Surge In Search Interest,,Bearish
Jul-23-2025,NewsBTC,Solana-meme Mania Shifts to LetsBONK.fun Platform: Here is Why Useless Coin Gained 20% Today,,Neutral
Jul-23-2025,Coinpedia,"Bitfarms to buy back 10% of shares, calls stock undervalued",,Bullish
Jul-23-2025,Cointelegraph,"Aave Dominates DeFi Rally, Grabs 31% of $49B TVL Increase",G,Neutral
Jul-23-2025,,India bonds little changed as traders await fresh cues,,Neutral
Jul-23-2025,Reuters,Australia government sells A$16 billion in new 2036 bond,A,Neutral
Jul-23-2025,Reuters,"Sustainable Energy Infra Trust to issue bonds, bankers say",,Neutral
Jul-23-2025,Reuters,"Japan's Nikkei surges to one-year peak, bonds slide on US trade deal",US,Bullish
Jul-23-2025,Reuters,India bond yields to be range-bound; all eyes on momentum of rate cut bets,,Neutral
Jul-23-2025,Reuters,Singapore's Temasek launches multi-tranche offshore renminbi bonds,,Neutral
Jul-23-2025,Reuters,"Japan stocks surge, bonds slide after Trump says trade deal reached",,Bullish
Jul-23-2025,Reuters,"Weaker dollar, bond yields lift gold to more than 5-week high",,Bearish
Jul-23-2025,Reuters,"Japan stocks jump, bonds slide after Trump says trade deal reached",,Bullish
Jul-22-2025,Reuters,De-risking mood adds more demand for US corporate bonds,US,Bearish
Jul-22-2025,Reuters,"Gold hits five-week peak on trade jitters, lower bond yields",,Bearish
Jul-22-2025,Reuters,Impala Bondco plc - Approval of written procedure and amendments to the terms and conditions of the bonds,,Neutral
Jul-22-2025,Reuters,TABLE-Richmond Fed composite index -20 in July,,Neutral
Jul-22-2025,Reuters,India bonds end steady as traders await cues on policy rates,,Bullish
Jul-22-2025,Reuters,"NABARD to issue over 3-year bonds, bankers say",,Bearish
Jul-22-2025,Reuters,South African government sells 3.75 billion rand of bonds at auction,,Neutral
Jul-22-2025,Reuters,Resurgence of India rate-cut wagers revives foreign investor interest in bonds,,Bearish
Jul-22-2025,Reuters,Benchmark JGBs gain as traders assess fiscal fallout from coalition defeat,JGB,Bullish
Jul-22-2025,Reuters,Thailand plans to sell $619 million of saving bonds this month,,Neutral
Jul-22-2025,Reuters,Singapore's Temasek Holdings mandates four banks for offshore renminbi bonds,,Neutral
Jul-22-2025,Reuters,Foreign investors sell China onshore bonds in June,,Neutral
Jul-22-2025,Reuters,REG - iShares V ibonds D26 - Net Asset Value(s),REG,Neutral
Jul-22-2025,London Stock Exchange,REG - iShares V ibonds D28 - Net Asset Value(s),REG,Neutral
Jul-22-2025,London Stock Exchange,India bonds flat as traders look ahead to RBI policy; liquidity ebbs,RBI,Bullish
Jul-22-2025,Reuters,Trading in Fortaco Group Holding bonds will be resumed,,Neutral
Jul-22-2025,Reuters,Trading in SGL Group ApS bonds will be resumed,S,Neutral
Jul-22-2025,Reuters,"Godrej Seeds to issue over 3-year bonds, bankers say",,Neutral
Jul-22-2025,Reuters,"SIDBI to issue over 3-year bonds, bankers say","IDBI, S",Neutral
Jul-22-2025,Reuters,"Embassy REIT to issue 10-year bonds with 5-year put option, bankers say",,Neutral
Jul-22-2025,Reuters,Indian bond yields expected to show a slight decline,,Bearish
Jul-23-2025,,Astra Industrial Group Q2 Profit Rises,,Bearish
Jul-23-2025,ReutersRefinitiv,Acwa Power Says SAAD Two PV Project In Riyadh Achieves Partial Commercial Operations,SAAD,Bearish
Jul-23-2025,Reuters,Arab National Bank H1 Dividend Per Share SAR 0.65,,Neutral
Jul-23-2025,Reuters,Bank Albilad H1 Dividend Per Share SAR 0.45,,Neutral
Jul-23-2025,Reuters,UAE's biggest bank FAB beats quarterly profit estimates on strong revenue growth,"FAB, UAE",Bearish
Jul-23-2025,Reuters,Dana Gas Initiates Recompletion Works At Balsam-3 Well In Egypt’S Onshore Nile Delta,,Neutral
Jul-23-2025,Reuters,"Germany OKs Eurofighter delivery to Turkey, Spiegel reports",,Bearish
Jul-23-2025,Reuters,Bank Albilad Q2 Profit SAR 765.8 Million,,Neutral
Jul-23-2025,Reuters,Saudi Investment Bank Posts Q2 Profit Of SAR 512.5 Mln,,Bearish
Jul-23-2025,Reuters,Turkey - Factors to watch on July 23,,Neutral
Jul-23-2025,Reuters,MIDEAST - Factors to watch - July 23,,Neutral
Jul-23-2025,Reuters,NMDC Energy Q2 Profit 366 Mln Dirhams,,Neutral
Jul-23-2025,Reuters,UAE's biggest bank FAB beats Q2 profit estimates,"FAB, UAE",Bearish
Jul-23-2025,Reuters,First Abu Dhabi Bank Q2 Profit Rises,,Bearish
Jul-23-2025,Reuters,"Presight, CBUAE Launch JV For Financial Infrastructure Transformation Programme",,Neutral
Jul-23-2025,Reuters,"Trump envoy Witkoff to travel to Europe and discuss Gaza, US official says","US, W",Neutral
Jul-23-2025,Reuters,Elsight Raises About A$60 Million At A$1.70 Per Share,A,Neutral
Jul-23-2025,Reuters,"More than 100 aid, rights groups call for action as hunger spreads in Gaza",,Neutral
Jul-23-2025,Reuters,Columbia disciplines dozens of students for pro-Palestinian library protest,,Bullish
Jul-23-2025,Reuters,AFP appeals for evacuation of freelance staff from Gaza,AFP,Bullish
Jul-23-2025,Reuters,Sign in to read exclusive news,,Neutral
Jul-23-2025,Acceswire,Israeli defence minister says there is a possibility of a renewed campaign against Iran,,Bullish
Jul-23-2025,Reuters,"French culture minister Dati, ex-auto CEO Ghosn to stand trial for graft",,Bullish
Jul-23-2025,Reuters,"High level of organic chlorides detected in Azeri BTC oil, sources say",A,Bearish
Jul-23-2025,Reuters,"Urals diffs stable, Azeri BTC hits 4-year low on quality issues","A, BTC",Bullish
Jul-22-2025,Reuters,Sign in to read exclusive news,,Neutral
Jul-22-2025,Dow Jones Newswires,KUFPEC announces final investment decision with Shell Egypt to develop gas exploration at Mina West field,"K, UFPEC",Neutral
Jul-22-2025,Reuters,Gasoline profit margins fall,,Bearish
Jul-22-2025,Reuters,"Lockheed Martin CEO Says For Turkish Utility Helicopter Program, Reached Notional Agreement To Restructure Due To U.S. Government Sanctions On Turkish Entities And Persons Involved In Program-Conf. Call",U. S.,Neutral
Jul-23-2025,,Australia's Lake Resources soars on new funds for Argentina lithium project,,Bearish
Jul-23-2025,Reuters,"Oil India in talks with ExxonMobil, Total, Petrobras for joint bids in new auction round - Mint",,Bearish
Jul-23-2025,Dow Jones Newswires,Sign in to read exclusive news,,Neutral
Jul-23-2025,Dow Jones Newswires,Vale's iron ore output up 4% with record Q2 at key mine,,Bearish
Jul-23-2025,Reuters,Telecoms giant America Movil swings to profit on foreign exchange gains,,Bearish
Jul-23-2025,Reuters,SPX reaches 5.06% stake in Metalurgica Gerdau's non-common shares,SPX,Neutral
Jul-23-2025,Reuters,Lawyers for Brazil's Bolsonaro say he did not violate social media ban,,Neutral
Jul-23-2025,Dow Jones Newswires,Brazil's central bank announces roll over of swaps maturing in September,,Neutral
Jul-23-2025,Reuters,Vale's iron ore output rises 3.7% in Q2 from a year earlier,,Bearish
Jul-23-2025,Reuters,Bankers urge Latin America to ease hurdles to attract renewable energy funds,,Bearish
Jul-23-2025,Reuters,Brazil's Sabesp says it invested 3.6 billion reais in Q2,,Neutral
Jul-23-2025,Reuters,Bovespa Index Ends 0.10% Lower at 134035.72 — Data Talk,,Bullish
Jul-23-2025,Dow Jones Newswires,S&P MERVAL Index Ends 1.57% Lower at 2010482.18 — Data Talk,S & P,Bullish
Jul-23-2025,Dow Jones Newswires,"Brazil may support sectors hit by steeper US tariffs, says official",US,Bearish
Jul-23-2025,Reuters,'I'm free now': Venezuelans held in El Salvador reunite with families,,Bearish
Jul-23-2025,Reuters,Bolsonaro's lawyers reject Brazil Supreme Court's accusation of order breach,,Bullish
Jul-23-2025,Reuters,Brazil eases 2025 spending curbs needed to comply with fiscal rules,,Bearish
Jul-23-2025,Reuters,"Latam FX, stocks steady with focus on trade deals",,Bearish
Jul-23-2025,Reuters,Ibovespa Edges Lower on Tuesday,,Bullish
Jul-23-2025,Trading Economics,Brazil's WEG approves dividends of 719.4 million reais,WEG,Bearish
Jul-23-2025,Reuters,Compania de Minas Buenaventura SAA expected to post earnings of 34 cents a share - Earnings Preview,,Neutral
Jul-23-2025,Reuters,Mergers and acquisitions,,Neutral
Jul-23-2025,Reuters,Brazil government eliminates spending freeze to meet 2025 fiscal target,,Bullish
Jul-23-2025,Reuters,Paraguay Holds Interest Rate Steady at 6%,,Neutral
Jul-23-2025,Trading Economics,"Corn futures extend losses with US rain forecasts, hefty Brazil crop",US,Bullish
Jul-23-2025,Reuters,"Exxon in talks with Trinidad for seven deepwater blocks, sources say",,Neutral
Jul-23-2025,,UK Stocks-Factors to watch on July 23,UK,Neutral
Jul-23-2025,Reuters,"Cosmo Delivers Strong Performance in H1 2025, Raises Full-Year EBITDA Guidance and Accelerates Recurring Revenue Growth Across AI and Dermatology",AI,Bearish
Jul-23-2025,Newsfile Corp.,"Germany OKs Eurofighter delivery to Turkey, Spiegel reports",,Bearish
Jul-23-2025,Reuters,Equinor Q2 core profit down 13% on weaker oil price,,Bullish
Jul-23-2025,Reuters,"Business lender Shawbrook aims for UK listing this year, FT reports","FT, UK",Neutral
Jul-23-2025,Reuters,EMEA Morning Briefing: U.S. Reaches Trade Deal With Japan,"EMEA, U. S.",Bearish
Jul-23-2025,Dow Jones Newswires,"Prudential begins search to replace chair Shriti Vadera, FT reports",FT,Neutral
Jul-23-2025,Reuters,NatWest hires Accenture and Amazon Web Services for customer data overhaul - FT,,Neutral
Jul-23-2025,Reuters,Oil prices pause slide on US-Japan trade deal,US,Bullish
Jul-23-2025,Reuters,Business Lender Shawbrook Pushes Ahead With 2 Billion Stg UK Listing - FT,,Bearish
Jul-23-2025,Reuters,Prudential Launches Search To Replace Chair Shriti Vadera- FT,,Neutral
Jul-23-2025,Reuters,REG - RNS - Service Notice,"REG, RNS",Neutral
Jul-23-2025,London Stock Exchange,REG - RNS - Test Message,"EG, R, RNS",Neutral
Jul-23-2025,London Stock Exchange,British Business - July 23,,Neutral
Jul-23-2025,Reuters,"Shanghai metals climb as traders weigh Beijing's growth pledge, Sino-US talks",US,Bullish
Jul-23-2025,Dow Jones Newswires,Financial Times - July 23,,Neutral
Jul-23-2025,Dow Jones Newswires,Oil rises on Japan trade deal and stronger demand indicated by US inventories,US,Bearish
Jul-23-2025,Reuters,"Aussie miners hit nearly 9-month high, tracking strong iron ore prices",,Bearish
Jul-23-2025,Reuters,"India, UK to sign free trade deal during Modi's visit, cut tariffs on whisky, garments",UK,Bearish
Jul-23-2025,Dow Jones Newswires,"UK private sector pay settlements stagnate at 3%, Brightmine says",UK,Bullish
Jul-23-2025,Acceswire,Sign in to read exclusive news,,Neutral
Jul-23-2025,Acceswire,US FAA grants one-year delay for secondary cockpit barrier rule,"FAA, US",Neutral
Jul-23-2025,Reuters,CoStar raises annual revenue forecast as net bookings climb,,Bearish
Jul-23-2025,MT Newswires,Wall Street Journal - July 23,,Neutral
Jul-23-2025,ReutersRefinitiv,Sign in to read exclusive news,,Neutral
Jul-23-2025,MT Newswires,"India's CreditAccess Grameen up on positive commentary, improved asset quality",,Bearish
Jul-23-2025,MT Newswires,Sign in to read exclusive news,,Neutral
Jul-23-2025,MT Newswires,Karooooo Reports Q1 Operating Profit Up 17% To ZAR352 Mln,Z,Bearish
Jul-23-2025,MT Newswires,Surprise Japan trade deal gets others' hopes up,,Bearish
Jul-23-2025,Dow Jones Newswires,Sambo Corrugated Board To Cancel 1.4 Billion Won Worth Of Own Shares,,Bullish
Jul-23-2025,MT Newswires,"Hd Hyundai Infracore Q2 Operating Profit 106 Billion Won, Up 30% From Year Earlier",H,Bearish
Jul-23-2025,Reuters,Singapore Inflation Rate Steady in June,,Neutral
Jul-23-2025,Trading Economics,Tariff deals with US lift Asian stocks; currencies upbeat,US,Bearish
Jul-23-2025,MT Newswires,India's IdeaForge Technology slumps on Q1 profit drop,,Bullish
Jul-23-2025,Reuters,"China, HK stocks power ahead as eased trade tensions fuel rally",HK,Bearish
Jul-23-2025,Reuters,Dow Jones Top Markets Headlines at 1 AM ET: Japan Stocks Lead Gains in Asia After Trade Deal With U.S. | U.S. ...,U. S.,Bearish
Jul-23-2025,MT Newswires,PayPal to launch cross-border platform with link to India's UPI payments system,UP,Neutral
Jul-23-2025,MT Newswires,Indonesian military's new pharma role sparks fears of expanded powers,,Bullish
Jul-23-2025,MT Newswires,Australia's Mitchell Services drops on lower fourth-quarter earnings,,Bullish
Jul-23-2025,,LCID: Lucid Stock Powers Up 11% After Greenlight to Use Tesla’s Charging Network,,Bearish
Jul-23-2025,TradingView,USD/JPY: Yen Seeks Direction Against Greenback After Trump Unveils ‘Massive’ Deal with Japan,,Bearish
Jul-23-2025,TradingView,"SPX: S&P 500 Climbs to Fresh Record High Ahead of Alphabet, Tesla Earnings Updates",S & P,Bearish
Jul-22-2025,TradingView,"XAU/USD: Gold Prices Ricochet Off $3,400 as Traders Eye String of Key Updates",,Bullish
Jul-23-2025,,China Financial Services Grants RMB18 Million Loan To Co Engaged In Tech Development Service,R,Bearish
Jul-23-2025,ReutersRefinitiv,Third Point Investors Update On Proposed Recommended Acquisition Of Malibu Life Reinsurance SPC,,Neutral
Jul-23-2025,ReutersRefinitiv,"Street View: RTX has strong flight path, analysts say",RTX,Bearish
Jul-23-2025,ReutersRefinitiv,Street View: Danaher could lean on bioprocessing strength to withstand macro headwinds,,Bearish
Jul-23-2025,Reuters,UK's Alpha Group shares hit record high after Corpay's $2.2 billion takeover deal,UK,Bearish
Jul-23-2025,Reuters,India Dr Reddy's Exec Says Co Planning To Launch Generic Semaglutide In 87 Countries Next Year,,Neutral
Jul-23-2025,Reuters,Czech Defence Ministry Says Rheinmetall To Provide Service Support For Leopard 2A4 Tanks For Army,,Bearish
Jul-23-2025,Reuters,"Boston Scientific, GE Vernova, General Electric",,Neutral
Jul-23-2025,Reuters,BRIEF-Greene County Bancorp Q2 EPS USD 0.55,,Bearish
Jul-23-2025,Reuters,Polymarket CEO Shayne Coplan Explores Launching Own Stablecoin - CNBC Interview,CNBC,Neutral
Jul-23-2025,Reuters,French minister Retailleau breaks with Macron as 2027 succession race heats up,,Bullish
Jul-23-2025,Reuters,"Most Gulf stocks rebound on earnings, US-Japan trade deal",US,Bearish
Jul-23-2025,Reuters,"Crusoe, The Startup Developing A Giant Data Center For OpenAI's $500 Billion Stargate Effort Is Raising Around $1 Billion - The Information",,Neutral
Jul-23-2025,Reuters,American Electric Power Says Sara Martinez Tucker Resigns As Chair Of Board,,Bullish
Jul-23-2025,Reuters,ENDRA Life Sciences Authorizes Cryptocurrency Treasury Strategy,,Neutral
Jul-23-2025,Reuters,Capitol Federal Q3 net income rises to $18.4 mln,,Bearish
Jul-23-2025,Reuters,Marvell Appoints Rajiv Ramaswami To Its Board Of Directors,,Neutral
Jul-23-2025,Reuters,Third Point Launches Insurance Solutions Fund To Provide Private Credit Opportunities For Insurance Companies,,Neutral
Jul-23-2025,Reuters,Mainstreet Bancshares' Board To Consider Future Dividends After Financial Review,,Neutral
Jul-23-2025,Reuters,India's IndusInd Bank allows promoters to nominate up to two directors for board,,Neutral
Jul-23-2025,Reuters,Lender First Community's Q2 net income up 58.8%,,Bearish
Jul-23-2025,Reuters,Former Cruise President And CTO Mohamed Elshenawy Joins Kodiak Robotics Board Of Directors,,Neutral
Jul-23-2025,Reuters,Govini Announced Significant Award To Expand Role In U.S. Army's Next Generation Command And Control Program,,Bearish
Jul-23-2025,Reuters,BASF And AltaGas Sign Long-Term Butane Supply Agreement,BASF,Bearish
Jul-23-2025,Reuters,Avidity Biosciences Receives FDA Breakthrough Therapy Designation For Duchenne Muscular Dystrophy Treatment,FDA,Bearish
Jul-23-2025,Reuters,"US natgas prices slide 3% to 2-month low on near-record output, lagging LNG exports","L, US",Bullish
Jul-23-2025,Reuters,BASF And Altagas Sign Long-Term Butane Supply Agreement,BASF,Bearish
Jul-23-2025,Reuters,"Trump again calls for Fed board to act, says Powell 'doesn't get it'",,Bullish
Jul-23-2025,Reuters,Lucid Launches Collaborative with Critical Minerals Producers to Further Strengthen Supply Chain for American Automotive and EV Manufacturing,,Bearish
Jul-23-2025,Reuters,The University Of Melbourne Selects Rimini Street To Reduce Risk And Accelerate Innovation Around Its Oracle Systems,,Bearish
